1,1,1,1,,2015-01-01,03:30:00,100
2,1,1,1,,2015-01-01,12:30:00,100
3,1,2,2,,2015-01-01,04:30:00,25
4,1,2,2,,2015-01-01,19:30:00,25
5,2,3,3,,2015-01-01,04:00:00,150
6,2,3,1,,2015-01-01,16:00:00,150
7,2,4,2,,2015-01-01,08:00:00,100
8,2,4,1,,2015-01-01,04:00:00,100
9,3,5,2,,2015-01-01,18:00:00,300
10,3,5,3,,2015-01-01,14:00:00,300
11,3,5,1,,2015-01-01,15:00:00,300
12,3,5,2,,2015-01-01,16:00:00,300
13,3,5,3,,2015-01-01,17:00:00,300
14,3,5,1,,2015-01-01,18:00:00,300
15,3,5,2,,2015-01-01,19:00:00,300
16,3,5,3,,2015-01-01,10:00:00,300
17,3,6,1,,2015-01-02,05:00:00,2
18,3,6,1,,2017-01-01,05:00:00,2
